candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,has_twitter,num_endorsements,gun_control_tweet_count,health_care_tweet_count,abortion_tweet_count,immigration_tweet_count,kavanaugh_tweet_count,education_tweet_count,jobs_tweet_count,tax_tweet_count,fake_news_tweet_count,environment_tweet_count,sexual_assault_tweet_count,gender_tweet_count,women_tweet_count,lgbt_tweet_count,freedom_tweet_count,trump_tweet_count,num_tweets,count_negative,count_neutral,count_positive,sentiment
Mick Shoemaker Jr.,,,OH,U.S. House Ohio District 12,Representative,Special,5/8/18,Lost,None,None,1.09,No,,,,,,No,No,No,,No,,No,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,
Anthony Gonzalez,RepAGonzalez,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Advanced,None,On the Ballot,53.07,Yes,Yes,,,,No,Yes,No,,,No,,Yes,Yes,,False,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christina Hagan,RepHagan,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,40.78,No,Yes,,,,Yes,No,Yes,,,Yes,,No,No,,False,4,17,13,56,35,6,6,43,18,1,1,7,7,7,0,26,104,956,206,323,427,2.4623430962343096
Michael Grusenmeyer,DrGrusenmeyer,,OH,U.S. House Ohio District 16,Representative,Regular,5/8/18,Lost,None,None,6.15,No,No,,,,No,No,No,,,No,,No,No,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0
Jim Burgess,JimBurgess7,,OH,U.S. House Ohio District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,93.1,Yes,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4.0
Abdulkadir Haji,Hajiforcongress,,OH,U.S. House Ohio District 3,Representative,Regular,5/8/18,Lost,None,None,6.9,No,,,,,,,,,,,,,,,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,18,19,32,2.4057971014492754
Steven Kraus,TEAMKRAUS,,OH,U.S. House Ohio District 9,Representative,Regular,5/8/18,Advanced,None,On the Ballot,49.45,Yes,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0
Keith Colton,colton4congress,,OH,U.S. House Ohio District 9,Representative,Regular,5/8/18,Lost,None,None,29.86,No,,,,,,,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2.6666666666666665
W. Benjamin Franklin,,,OH,U.S. House Ohio District 9,Representative,Regular,5/8/18,Lost,None,None,20.7,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
Jim Renacci,RepJimRenacci,,OH,U.S. Senate Ohio,Senator,Regular,5/8/18,Advanced,None,On the Ballot,47.34,Yes,,Yes,,,Yes,Yes,,,Yes,,No,,,,False,4,4,15,2,17,3,19,141,39,0,2,1,1,1,0,3,84,820,116,313,391,2.6707317073170733
Don Eckhart,DoneOnFaith,,OH,U.S. Senate Ohio,Senator,Regular,5/8/18,Lost,None,None,3.88,No,,No,,,No,No,,,No,,No,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,2,3,1.6
Mike Gibbons,MikeGibbonsOH,,OH,U.S. Senate Ohio,Senator,Regular,5/8/18,Lost,None,None,31.69,No,,No,,,No,No,,,No,,Yes,,,,False,1,12,1,5,5,0,1,10,5,0,0,0,0,0,0,4,23,390,28,122,240,3.0871794871794873
Melissa Ackison,MelissaAckison,,OH,U.S. Senate Ohio,Senator,Regular,5/8/18,Lost,None,None,13.09,No,,No,,,No,No,,,No,,No,,,,False,0,12,58,20,2,6,4,14,4,0,0,3,3,3,0,4,47,1176,334,509,333,1.998299319727891
Dan Kiley,kileyforsenate,,OH,U.S. Senate Ohio,Senator,Regular,5/8/18,Lost,None,None,3.99,No,,No,,,No,No,,,No,,No,,,,False,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,3,3,64,13,21,30,2.53125
Mick Cornett,MickforGovernor,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,Lost,None,29.34,No,,,,,,,,,,,,,,,False,0,0,0,0,2,0,3,13,2,0,0,0,0,0,0,2,2,290,13,85,192,3.2344827586206897
Mick Cornett,MickCornett,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,Lost,None,29.34,No,,,,,,,,,,,,,,,False,0,2,0,0,0,0,23,10,0,0,0,0,0,0,0,3,1,952,77,250,625,3.1512605042016806
Kevin Stitt,GovStitt,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,Advanced,On the Ballot,24.41,Yes,,,,,,,,,,,,,,,False,0,5,5,9,2,0,26,15,7,0,0,0,0,0,0,5,10,569,54,134,381,3.149384885764499
Christopher Barnett,,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,1.16,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,
Dan Fisher,DanLFisher,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,7.91,No,,,,,,,,,,,,,,,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,5,4,2.0
Eric Foutch,,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,0.51,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,
Barry Gowdy,,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,0.52,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,
Gary Jones,JonesOK2018,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,5.58,No,,,,,,,,,,,,,,,False,0,0,0,1,0,0,8,3,3,0,0,0,0,0,0,1,0,262,76,99,87,2.0839694656488548
Todd Lamb,LtGovToddLamb,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,23.86,No,,,,,,,,,,,,,,,False,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,3,3,17,3.217391304347826
Todd Lamb,ToddGLamb,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,23.86,No,,,,,,,,,,,,,,,False,0,5,5,2,0,0,9,2,0,0,0,0,0,0,0,4,13,288,9,60,219,3.4583333333333335
Gary Richardson,,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,4.02,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,
Blake Cowboy Stephens,,,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,2.7,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,
Kevin Hern,krhern,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,Advanced,On the Ballot,22.68,Yes,,,,,,,,No,,No,,Yes,,,False,1,5,0,3,13,2,3,37,11,0,0,0,0,0,0,5,89,283,27,58,198,3.208480565371025
Kevin Hern,repkevinhern,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,Advanced,On the Ballot,22.68,Yes,,,,,,,,No,,No,,Yes,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim Harris,VoteTimHarris,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,Lost,None,27.48,No,,,,,,,,,,No,,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,3.3333333333333335
Nathan Dahm,NathanDahm,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,20.17,No,,,,,,,,,,No,,No,,,False,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,3,2,116,35,61,20,1.7413793103448276
Andy Coleman,AndyColeman79,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,21.85,No,,,,,,,,,,Yes,,No,,,False,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,5,151,14,17,120,3.403973509933775
Danny Stockstill,Stockstill4OK,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,7.83,No,,,,,,,,,,No,,No,,,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,7,7,3.0
Danny Stockstill,dannystockstill,,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,7.83,No,,,,,,,,,,No,,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,3,2.6666666666666665
Knute Buehler,KnuteBuehler,,OR,Governor of Oregon,Governor,Regular,5/15/18,Advanced,None,On the Ballot,45.9,Yes,,,,,,No,,,,,,,,,False,0,8,77,34,3,1,83,29,27,0,8,0,0,0,6,7,2,1394,388,399,607,2.3142037302725966
Bruce Cuff,brucecuff,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,1.55,No,,,,,,No,,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7,3.75
Sam Carpenter,CarpenterforOR,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,28.85,No,,,,,,No,,,,,,,,,False,0,35,3,12,10,0,0,3,9,1,0,0,0,0,0,2,61,420,45,201,174,2.6142857142857143
Jeff Smith,,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,1.49,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,
Keenan Bohach,,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,0.25,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,
Jack Tacy,,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,0.16,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,
Greg Wooldridge,greg_wooldridge,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,20.08,No,,,,,,Yes,,,,,,,,,False,1,10,1,3,1,0,2,3,1,0,0,0,0,0,0,1,1,140,29,43,68,2.557142857142857
Jonathan Edwards (Oregon),,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,0.27,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
Brett Hyland,,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,0.24,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
David Stauffer,,,OR,Governor of Oregon,Governor,Regular,5/15/18,Lost,None,None,0.67,No,,,,,,No,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
John Verbeek,,,OR,U.S. House Oregon District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,50.61,Yes,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
George Griffith,,,OR,U.S. House Oregon District 1,Representative,Regular,5/15/18,Lost,None,None,40.72,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
Preston Miller,,,OR,U.S. House Oregon District 1,Representative,Regular,5/15/18,Lost,None,None,7.71,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,
Art Robinson,ArtForCongress,,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Advanced,None,On the Ballot,45.51,Yes,,,,,,Yes,,,,,,,,,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,53,3,12,38,3.3207547169811322
Jo Rae Perkins,PerkinsForUSRep,,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,20.81,No,,,,,,Yes,,,,,,,,,False,1,65,1,47,13,16,1,4,1,2,2,0,0,0,1,25,134,1527,299,556,672,2.4885396201702683
Stefan Strek,realStefanStrek,,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,3.36,No,,,,,,No,,,,,,,,,False,0,68,19,3,12,11,5,18,4,1,3,0,0,0,0,46,71,494,119,256,119,2.0
Court Boice,,,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,23.62,No,,,,,,Yes,,,,,,,,,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,
Michael Polen,Polen4Congress,,OR,U.S. House Oregon District 4,Representative,Regular,5/15/18,Lost,None,None,5.95,No,,,,,,No,,,,,,,,,False,0,7,0,2,5,0,0,1,1,0,0,0,0,0,2,0,11,88,16,41,31,2.340909090909091
Mark Callahan,Callahan4Oregon,,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,61.9,Yes,,,,,,Yes,,,,,,,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Nations,joey_nations,,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Lost,None,None,20.61,No,,,,,,No,,,,,,,,,False,0,8,8,4,61,12,7,7,39,17,5,1,1,1,0,11,222,1495,445,661,389,1.9250836120401338
Robert Reynolds,rob4congress18,,OR,U.S. House Oregon District 5,Representative,Regular,5/15/18,Lost,None,None,16.64,No,,,,,,Yes,,,,,,,,,False,1,7,2,0,1,0,0,4,0,0,0,0,0,0,0,0,7,46,9,18,19,2.4347826086956523
Scott Wagner,realScottWagner,,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Advanced,None,On the Ballot,44.3,Yes,,,Yes,,,,,,,,,,,,False,1,4,3,5,4,1,27,11,31,0,1,0,0,0,0,0,12,532,84,178,270,2.699248120300752
Laura Ellsworth,,,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Lost,None,None,18.83,No,,,No,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,
Paul Mango,,,PA,Governor of Pennsylvania,Governor,Regular,5/15/18,Lost,None,None,36.87,No,,,No,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,
John Joyce,JohnJoyceForPA,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Advanced,None,On the Ballot,22.02,Yes,,,,,,,,No,,No,,Yes,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Art Halvorson,ArtHalvorson,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,15.33,No,,,,,,,,,,No,,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Eichelberger,SenEichelberger,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,19.77,No,,,,,,,,,,No,,No,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stephen Bloom,RepBloom,StephenLBloom,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,18.16,No,,,,,,,,,,Yes,,No,,,False,1,4,1,3,1,0,10,9,4,0,3,1,1,1,0,3,1,482,148,227,107,1.829875518672199
Travis Schooley,TravisSchooley,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,4.51,No,,,,,,,,,,No,,No,,,False,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,29,48,3,16,29,3.0833333333333335
Doug Mastriano,dougmastriano,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,15.6,No,,,,,,,,,,No,,No,,,False,0,3,0,3,6,0,1,3,1,1,0,0,0,0,0,23,76,329,64,142,123,2.358662613981763
Bernard Washabaugh II,,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,2.84,No,,,,,,,,,,No,,No,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,
Benjamin Hornberger,BHornberger2018,,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Lost,None,None,1.77,No,,,,,,,,,,No,,No,,,False,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,26,5,12,9,2.3076923076923075
Guy Reschenthaler,reschenthaler,GReschenthaler,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Advanced,None,On the Ballot,55.19,Yes,,,,,,,,,,No,,Yes,,,False,1,2,1,0,0,0,4,7,1,0,0,0,0,0,0,1,1,190,40,50,100,2.6315789473684212
Rick Saccone,RickSaccone4PA,,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,44.81,No,,,,,,,,Yes,,Yes,,No,,,False,2,11,0,14,6,32,0,15,7,116,1,1,1,1,0,4,275,667,224,224,219,1.985007496251874
Dan David,DanDavidPA,,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0,2,1,0,1,1,4,17,0,0,0,0,0,0,0,3,1,248,49,53,146,2.782258064516129
Pearl Kim,PearlKimPA,,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0,1,3,0,10,0,4,7,2,0,1,6,6,6,0,2,1,191,28,39,124,3.005235602094241
Greg McCauley,McCauley4PA,GregMcCauleyUSA,PA,U.S. House Pennsylvania District 6,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,False,0,2,12,0,17,1,0,6,7,1,0,0,0,0,0,1,10,216,13,70,133,3.111111111111111
Marty Nothstein,Marty_Nothstein,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,None,On the Ballot,50.49,Yes,Yes,,,,,,,,,,,,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dean Browning,DeanBrowningPA,,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,49.51,No,No,,,,,,,,,,,,,,False,0,7,1,1,8,0,0,0,3,0,0,0,0,0,0,1,11,56,13,23,20,2.25
John Chrin,JohnChrin,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Advanced,None,On the Ballot,48.47,Yes,Yes,,,,,,,,,,,,,,False,1,6,15,1,14,0,2,67,39,0,6,0,0,0,0,4,26,535,53,112,370,3.1850467289719626
Robert Kuniegel,robertjkuniegel,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,16.66,No,No,,,,,,,,,,,,,,False,0,1,0,0,2,0,0,0,1,4,0,0,0,0,0,3,8,71,26,24,21,1.8591549295774648
Joe Peters,,,PA,U.S. House Pennsylvania District 8,Representative,Regular,5/15/18,Lost,None,None,34.87,No,No,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,
Dan Meuser,Meuser4Congress,RepMeuser,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,None,On the Ballot,52.94,Yes,Yes,,,,,,,,,,,,,Yes,False,2,11,1,4,7,2,1,2,5,0,9,0,0,0,0,4,20,343,12,50,281,3.568513119533528
Scott Uehlinger,Scottforpa,,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.1,No,No,,,,,,,,,,,,,No,False,0,3,0,3,5,0,0,8,0,1,0,0,0,0,0,6,69,290,68,119,103,2.2413793103448274
George Halcovage,GeorgeHalcovage,geohalco,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,23.97,No,No,,,,,,,,,,,,,No,False,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,88,6,16,66,3.3636363636363638
Lou Barletta,louforsenate,reploubarletta,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Advanced,None,On the Ballot,63.03,Yes,,,,,,,,,Yes,,,,,,False,1,6,26,7,97,17,11,200,76,1,4,0,0,0,0,21,163,1375,369,471,535,2.2414545454545456
Jim Christiana,repchristiana,,PA,U.S. Senate Pennsylvania,Senator,Regular,5/15/18,Lost,None,None,36.97,No,,,,,,,,,No,,,,,,False,0,1,1,1,5,0,2,2,2,0,0,0,0,0,0,0,5,129,29,64,36,2.108527131782946
Giovanni Feroce,giovanniferoce,,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,3.5,No,,,,,,,No,,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allan Fung,mayorfung,allanfungri,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Advanced,None,On the Ballot,56.4,Yes,,,,,,,No,,,,,,,,False,0,2,5,0,0,0,5,22,6,0,2,0,0,0,0,1,0,701,143,178,380,2.6761768901569187
Patricia Morgan,repmorgan,patriciaforri,RI,Governor of Rhode Island,Governor,Regular,9/12/18,Lost,None,None,40.1,No,,,,,,,Yes,,,,,,,,False,1,10,20,2,6,0,30,80,46,0,33,0,0,0,0,14,10,1384,439,490,455,2.023121387283237
Frederick Wysocki,,,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Lost,None,None,21.6,No,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,
Patrick Donovan,,,RI,U.S. House Rhode Island District 1,Representative,Regular,9/12/18,Advanced,None,On the Ballot,78.4,Yes,,,,,,,,,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,
Roque De La Fuente,joinrocky,,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Lost,None,None,12.3,No,,,,,,,,,,,,,,,False,0,7,10,0,10,0,7,6,1,0,4,0,0,0,0,1,11,222,41,91,90,2.4414414414414414
Robert Flanders Jr.,flanders4senate,rgflandersjr,RI,U.S. Senate Rhode Island,Senator,Regular,9/12/18,Advanced,None,On the Ballot,87.7,Yes,,,,,,,,,,,,,,,False,0,1,8,0,4,6,5,15,6,0,5,0,0,0,0,6,8,437,99,95,243,2.6590389016018308
Lee Bright,leebright,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,24.95,No,,,,,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,3,11,3.5714285714285716
William Timmons,votetimmons,reptimmons,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,19.21,Yes,,,,,,,,No,,,,,,,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41,4,10,27,3.1219512195121952
Dan Hamilton,dphamilton,RepDanHamilton,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,18.62,No,,,,,,,,No,,,,,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,162,44,69,49,2.0617283950617282
Stephen Brown,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,7.57,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,
Mark Burns,pastormarkburns,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.48,No,,,,,,,,No,,,,,,,False,0,8,3,4,17,10,2,13,2,2,0,2,2,2,0,2,190,725,145,259,321,2.4855172413793105
Barry Bell,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.3,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,
Josh Kimbrell,Josh_Kimbrell,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,11.13,No,,,,,,,,Yes,,,,,,,False,1,6,1,3,11,6,1,2,0,0,1,0,0,0,1,7,21,253,83,71,99,2.1264822134387353
James Epley,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,8.03,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,
Shannon Pierce,ShannonPierceSC,dshannonpierce,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,3.64,No,,,,,,,,No,,,,,,,False,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0,1,2,132,5,25,102,3.4696969696969697
Claude Schmid,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,2.11,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,
Dan Albert,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.76,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,
John Marshall Mosser,,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.68,No,,,,,,,,No,,,,,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,
Justin David Sanders,JSandersSC04,,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,0.53,No,,,,,,,,No,,,,,,,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,5,8,7,2.2
Kristi L. Noem,KristiNoem,,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,On the Ballot,56.03,Yes,,,,,,,Yes,,,,,,,,False,1,4,6,11,4,0,13,20,33,1,0,0,0,0,0,8,36,560,48,137,375,3.1678571428571427
Marty J. Jackley,martyjackley,,SD,Governor of South Dakota,Governor,Regular,6/5/18,Lost,None,None,43.96,No,,,,,,,No,,,,,,,,False,0,6,5,6,4,0,13,16,3,0,1,0,0,0,0,5,11,581,72,107,402,3.135972461273666
Dusty Johnson,DustyJohnson,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,46.81,Yes,Yes,,,,,,No,,Yes,,,No,,,False,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,95,18,30,47,2.610526315789474
Neal Tapio,,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,23.87,No,No,,,,,,No,,No,,,No,,,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,
Shantel Krebs,,,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Lost,None,None,29.34,No,Yes,,,,,,Yes,,No,,,Yes,,No,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,
